Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"0.15","0.31","5.82"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"7.7800","153.7625","0.3112","1.0000"
"7.8000","153.7319","0.3112","1.0000"
"7.8200","153.6904","0.3112","1.0000"
"7.8400","153.7384","0.3112","1.0000"
"7.8600","153.8182","0.3112","1.0000"
"7.8800","153.7321","0.3112","1.0000"
"7.9000","153.7024","0.3112","1.0000"
"7.9200","153.7847","0.3112","1.0000"
"7.9400","153.7528","0.3112","1.0000"
"7.9600","153.6601","0.3112","1.0000"
"7.9800","153.7441","0.3112","1.0000"
"8.0000","153.8184","0.3112","1.0000"
"8.0200","153.7309","0.3112","1.0000"
"8.0400","153.6174","0.3112","1.0000"
"8.0600","153.6862","0.3112","1.0000"
"8.0800","153.6375","0.3112","1.0000"
"8.1000","153.6642","0.3112","1.0000"
"8.1200","153.7635","0.3112","1.0000"
"8.1400","153.7367","0.3112","1.0000"
"8.1600","153.5674","0.3112","1.0000"
"8.1800","153.5771","0.3112","1.0000"
"8.2000","153.6643","0.3112","1.0000"
"8.2200","153.6118","0.3112","1.0000"
"8.2400","153.6599","0.3112","1.0000"
"8.2600","153.6666","0.3112","1.0000"
"8.2800","153.5207","0.3112","1.0000"
"8.3000","153.4353","0.3112","1.0000"
"8.3200","153.5283","0.3112","1.0000"
"8.3400","153.5421","0.3112","1.0000"
"8.3600","153.4623","0.3112","1.0000"
"8.3800","153.6329","0.3112","1.0000"
"8.4000","153.6381","0.3112","1.0000"
"8.4200","153.5936","0.3112","1.0000"
"8.4400","153.7792","0.3112","1.0000"
"8.4600","153.7444","0.3112","1.0000"
"8.4800","153.4858","0.3112","1.0000"
"8.5000","153.5281","0.3112","1.0000"
"8.5200","153.5788","0.3112","1.0000"
"8.5400","153.5520","0.3112","1.0000"
"8.5600","153.5173","0.3112","1.0000"
"8.5800","153.5784","0.3112","1.0000"
"8.6000","153.6240","0.3112","1.0000"
"8.6200","153.6118","0.3112","1.0000"
"8.6400","153.5794","0.3112","1.0000"
"8.6600","153.4889","0.3112","1.0000"
"8.6800","153.4642","0.3112","1.0000"
"8.7000","153.5223","0.3112","1.0000"
"8.7200","153.4322","0.3112","1.0000"
"8.7400","153.5018","0.3112","1.0000"
"8.7600","153.5826","0.3112","1.0000"
"8.7800","153.5054","0.3112","1.0000"
"8.8000","153.4907","0.3112","1.0000"
"8.8200","153.5527","0.3112","1.0000"
"8.8400","153.5998","0.3112","1.0000"
"8.8600","153.4984","0.3112","1.0000"
"8.8800","153.6160","0.3112","1.0000"
"8.9000","153.6615","0.3112","1.0000"
"8.9200","153.5371","0.3112","1.0000"
"8.9400","153.4263","0.3112","1.0000"
"8.9600","153.3986","0.3112","1.0000"
"8.9800","153.4285","0.3112","1.0000"
"9.0000","153.4944","0.3112","1.0000"
"9.0200","153.5879","0.3112","1.0000"
"9.0400","153.5769","0.3112","1.0000"
"9.0600","153.5157","0.3112","1.0000"
"9.0800","153.5878","0.3112","1.0000"
"9.1000","153.6028","0.3112","1.0000"
