Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"-----","-----","-----"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"10.5800","3917.8059","2.1044","0.0000"
"10.6000","3921.1814","2.1085","0.0000"
"10.6200","3924.1194","2.1125","0.0000"
"10.6400","3926.4089","2.1165","0.0000"
"10.6600","3928.9839","2.1206","0.0000"
"10.6800","3931.1912","2.1246","0.0000"
"10.7000","3933.3250","2.1286","0.0000"
"10.7200","3935.9656","2.1326","0.0000"
"10.7400","3938.4126","2.1366","0.0000"
"10.7600","3940.9839","2.1406","0.0000"
"10.7800","3943.4827","2.1446","0.0000"
"10.8000","3945.4844","2.1486","0.0000"
"10.8200","3947.8098","2.1525","0.0000"
"10.8400","3950.3008","2.1565","0.0000"
"10.8600","3952.5737","2.1604","0.0000"
"10.8800","3955.2434","2.1644","0.0000"
"10.9000","3957.9570","2.1685","0.0000"
"10.9200","3960.3132","2.1725","0.0000"
"10.9400","3962.8093","2.1765","0.0000"
"10.9600","3965.0601","2.1805","0.0000"
"10.9800","3967.1543","2.1845","0.0000"
"11.0000","3969.9766","2.1885","0.0000"
"11.0200","3972.7056","2.1925","0.0000"
"11.0400","3975.2285","2.1966","0.0000"
"11.0600","3978.1201","2.2006","0.0000"
"11.0800","3980.3118","2.2046","0.0000"
"11.1000","3981.9595","2.2085","0.0000"
"11.1200","3984.0110","2.2124","0.0000"
"11.1400","3986.2395","2.2163","0.0000"
"11.1600","3989.0571","2.2203","0.0000"
"11.1800","3992.6936","2.2244","0.0000"
"11.2000","3995.9509","2.2284","0.0000"
"11.2200","3998.8284","2.2325","0.0000"
"11.2400","4001.3779","2.2366","0.0000"
"11.2600","4003.3379","2.2405","0.0000"
"11.2800","4005.5525","2.2445","0.0000"
"11.3000","4008.0100","2.2485","0.0000"
"11.3200","4010.1479","2.2525","0.0000"
"11.3400","4012.6108","2.2565","0.0000"
"11.3600","4015.2061","2.2605","0.0000"
"11.3800","4017.3928","2.2645","0.0000"
"11.4000","4019.6008","2.2685","0.0000"
"11.4200","4021.6826","2.2725","0.0000"
"11.4400","4023.7761","2.2764","0.0000"
"11.4600","4026.5229","2.2804","0.0000"
"11.4800","4029.2314","2.2844","0.0000"
"11.5000","4032.0144","2.2884","0.0000"
"11.5200","4035.1045","2.2925","0.0000"
"11.5400","4037.4573","2.2965","0.0000"
"11.5600","4039.6165","2.3004","0.0000"
"11.5800","4042.3020","2.3044","0.0000"
"11.6000","4044.8040","2.3084","0.0000"
"11.6200","4047.6448","2.3124","0.0000"
"11.6400","4050.9746","2.3165","0.0000"
"11.6600","4053.8315","2.3206","0.0000"
"11.6800","4056.4146","2.3246","0.0000"
